year,month,production_kbpd,province,date,treated,line3_post,tmx_post,line3_did,tmx_did,time_trend,pipeline_capacity_instrument,wcs_wti_differential,rail_kbpd,differential_predicted
2018,1,3262.0511612903224,Alberta,2018-01-01,1,0,0,0,0,0,0.0,21.17,157.03078482962286,20.681808686694836
2018,2,3369.0891428571426,Alberta,2018-02-01,1,0,0,0,0,1,0.0,24.51,142.51682378422817,20.517020715016983
2018,3,3394.61764516129,Alberta,2018-03-01,1,0,0,0,0,2,0.0,27.2,183.95575316899578,20.352232743339126
2018,4,3081.924633333333,Alberta,2018-04-01,1,0,0,0,0,3,0.0,25.78,199.40424666252446,20.187444771661273
2018,5,3292.032,Alberta,2018-05-01,1,0,0,0,0,4,0.0,16.73,212.83851414857804,20.02265679998342
2018,6,3300.7249666666667,Alberta,2018-06-01,1,0,0,0,0,5,0.0,15.77,214.13680661059772,19.857868828305563
2018,7,3388.7646774193545,Alberta,2018-07-01,1,0,0,0,0,6,0.0,18.15,213.94151169076903,19.69308085662771
2018,8,3617.8913225806455,Alberta,2018-08-01,1,0,0,0,0,7,0.0,19.51,241.74427658033423,19.528292884949856
2018,9,3331.1064,Alberta,2018-09-01,1,0,0,0,0,8,0.0,29.86,284.09111178428265,19.363504913272
2018,10,3556.678193548387,Alberta,2018-10-01,1,0,0,0,0,9,0.0,29.6,346.19575387958383,19.198716941594146
2018,11,3628.323966666667,Alberta,2018-11-01,1,0,0,0,0,10,0.0,45.93,338.07603747527804,19.033928969916293
2018,12,3589.131516129032,Alberta,2018-12-01,1,0,0,0,0,11,0.0,43.55,364.89342425784764,18.869140998238436
2019,1,3320.755709677419,Alberta,2019-01-01,1,0,0,0,0,12,0.0,17.08,336.9636374458262,18.704353026560582
2019,2,3351.568,Alberta,2019-02-01,1,0,0,0,0,13,0.0,9.62,132.42639330127386,18.53956505488273
2019,3,3385.0500322580647,Alberta,2019-03-01,1,0,0,0,0,14,0.0,9.94,174.11543160296256,18.374777083204876
2019,4,3465.6301000000003,Alberta,2019-04-01,1,0,0,0,0,15,0.0,10.61,239.95770865042368,18.20998911152702
2019,5,3293.054,Alberta,2019-05-01,1,0,0,0,0,16,0.0,8.39,296.17465068523995,18.045201139849166
2019,6,3454.3112,Alberta,2019-06-01,1,0,0,0,0,17,0.0,12.92,298.2939998914623,17.88041316817131
2019,7,3495.2481612903225,Alberta,2019-07-01,1,0,0,0,0,18,0.0,12.65,324.6760170268597,17.715625196493455
2019,8,3521.275129032258,Alberta,2019-08-01,1,0,0,0,0,19,0.0,11.71,321.5126582558512,17.550837224815602
2019,9,3423.8308333333334,Alberta,2019-09-01,1,0,0,0,0,20,0.0,12.11,319.59373002088154,17.38604925313775
2019,10,3375.4580967741936,Alberta,2019-10-01,1,0,0,0,0,21,0.0,12.0,270.07007732246893,17.221261281459892
2019,11,3480.7382000000002,Alberta,2019-11-01,1,0,0,0,0,22,0.0,14.71,302.34480650764164,17.05647330978204
2019,12,3651.0282258064512,Alberta,2019-12-01,1,0,0,0,0,23,0.0,20.77,347.13636366713496,16.891685338104185
2020,1,3524.9889677419355,Alberta,2020-01-01,1,0,0,0,0,24,0.0,20.7,403.76748757335736,16.72689736642633
