year,month,production_kbpd,province,date,treated,line3_post,tmx_post,line3_did,tmx_did,time_trend,pipeline_capacity_instrument
2018,1,3262.0511612903224,Alberta,2018-01-01,1,0,0,0,0,0,0.0
2018,2,3369.0891428571426,Alberta,2018-02-01,1,0,0,0,0,1,0.0
2018,3,3394.61764516129,Alberta,2018-03-01,1,0,0,0,0,2,0.0
2018,4,3081.924633333333,Alberta,2018-04-01,1,0,0,0,0,3,0.0
2018,5,3292.032,Alberta,2018-05-01,1,0,0,0,0,4,0.0
2018,6,3300.7249666666667,Alberta,2018-06-01,1,0,0,0,0,5,0.0
2018,7,3388.7646774193545,Alberta,2018-07-01,1,0,0,0,0,6,0.0
2018,8,3617.8913225806455,Alberta,2018-08-01,1,0,0,0,0,7,0.0
2018,9,3331.1064,Alberta,2018-09-01,1,0,0,0,0,8,0.0
2018,10,3556.678193548387,Alberta,2018-10-01,1,0,0,0,0,9,0.0
2018,11,3628.323966666667,Alberta,2018-11-01,1,0,0,0,0,10,0.0
2018,12,3589.131516129032,Alberta,2018-12-01,1,0,0,0,0,11,0.0
2019,1,3320.755709677419,Alberta,2019-01-01,1,0,0,0,0,12,0.0
2019,2,3351.568,Alberta,2019-02-01,1,0,0,0,0,13,0.0
2019,3,3385.0500322580647,Alberta,2019-03-01,1,0,0,0,0,14,0.0
2019,4,3465.6301000000003,Alberta,2019-04-01,1,0,0,0,0,15,0.0
2019,5,3293.054,Alberta,2019-05-01,1,0,0,0,0,16,0.0
2019,6,3454.3112,Alberta,2019-06-01,1,0,0,0,0,17,0.0
2019,7,3495.2481612903225,Alberta,2019-07-01,1,0,0,0,0,18,0.0
2019,8,3521.275129032258,Alberta,2019-08-01,1,0,0,0,0,19,0.0
2019,9,3423.8308333333334,Alberta,2019-09-01,1,0,0,0,0,20,0.0
2019,10,3375.4580967741936,Alberta,2019-10-01,1,0,0,0,0,21,0.0
2019,11,3480.7382000000002,Alberta,2019-11-01,1,0,0,0,0,22,0.0
2019,12,3651.0282258064512,Alberta,2019-12-01,1,0,0,0,0,23,0.0
2020,1,3524.9889677419355,Alberta,2020-01-01,1,0,0,0,0,24,0.0
2020,2,3572.5927241379313,Alberta,2020-02-01,1,0,0,0,0,25,0.0
2020,3,3498.3086451612903,Alberta,2020-03-01,1,0,0,0,0,26,0.0
2020,4,3008.770066666667,Alberta,2020-04-01,1,0,0,0,0,27,0.0
2020,5,2816.129935483871,Alberta,2020-05-01,1,0,0,0,0,28,0.0
2020,6,3032.701066666667,Alberta,2020-06-01,1,0,0,0,0,29,0.0
2020,7,3037.533709677419,Alberta,2020-07-01,1,0,0,0,0,30,0.0
2020,8,2970.2937419354835,Alberta,2020-08-01,1,0,0,0,0,31,0.0
2020,9,3067.711366666667,Alberta,2020-09-01,1,0,0,0,0,32,0.0
2020,10,3255.392516129032,Alberta,2020-10-01,1,0,0,0,0,33,0.0
2020,11,3577.8967666666667,Alberta,2020-11-01,1,0,0,0,0,34,0.0
2020,12,3729.477064516129,Alberta,2020-12-01,1,0,0,0,0,35,0.0
2021,1,3667.0274516129034,Alberta,2021-01-01,1,0,0,0,0,36,0.0
2021,2,3505.746714285714,Alberta,2021-02-01,1,0,0,0,0,37,0.0
2021,3,3556.7980967741933,Alberta,2021-03-01,1,0,0,0,0,38,0.0
2021,4,3236.1381666666666,Alberta,2021-04-01,1,0,0,0,0,39,0.0
2021,5,3277.518419354839,Alberta,2021-05-01,1,0,0,0,0,40,0.0
2021,6,3520.374433333333,Alberta,2021-06-01,1,0,0,0,0,41,0.0
2021,7,3589.1899677419356,Alberta,2021-07-01,1,0,0,0,0,42,0.0
2021,8,3531.3300967741934,Alberta,2021-08-01,1,0,0,0,0,43,0.0
2021,9,3468.872066666667,Alberta,2021-09-01,1,0,0,0,0,44,0.0
2021,10,3760.2455483870967,Alberta,2021-10-01,1,1,0,1,0,45,590.0
